,Unnamed: 0,Number,Name,Start,End,Url,Reactor
498,498,1.0,Saint-Laurent-des-Eaux,15/06/2012,20/07/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-b1,Saint-Laurent-des-Eaux_1
499,499,4.0,Dampierre,,,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/remplacement-d-une-tuyauterie-du-circuit-de-refroidissement-a-l-arret,Dampierre_4
500,500,2.0,Bugey,,,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/poursuite-d-exploitation-du-reacteur-n-2-de-la-centrale-du-bugey,Bugey_2
501,501,2.0,Saint-Alban,27/04/2012,14/07/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-267,Saint-Alban_2
502,502,2.0,Saint-Laurent-des-Eaux,20/04/2012,01/06/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-b24,Saint-Laurent-des-Eaux_2
503,503,2.0,Belleville-sur-Loire,04/05/2012,22/06/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-22,Belleville-sur-Loire_2
504,504,1.0,Cattenom,17/02/2012,16/06/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-199,Cattenom_1
505,505,2.0,Chooz,,,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/prolongation-de-l-arret-pour-visite-decennale-du-reacteur-n-2,Chooz_2
506,506,3.0,Bugey,06/04/2012,24/06/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-partielle-du-reacteur-n-3,Bugey_3
507,507,2.0,Dampierre-en-Burly,27/01/2012,17/05/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-troisieme-visite-decennale-du-reacteur-n-25,Dampierre-en-Burly_2
508,508,1.0,Paluel,06/04/2012,03/06/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-150,Paluel_1
509,509,2.0,Gravelines,16/03/2012,22/05/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-252,Gravelines_2
510,510,2.0,Tricastin,16/03/2012,24/04/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-276,Tricastin_2
511,511,1.0,Gravelines,28/07/2011,20/03/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-troisieme-visite-decennale-du-reacteur-n-13,Gravelines_1
512,512,4.0,Gravelines,17/02/2012,28/03/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-423,Gravelines_4
513,513,2.0,Fessenheim,15/04/2011,05/03/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-du-reacteur-n-2,Fessenheim_2
514,514,1.0,Belleville-sur-Loire,23/09/2011,22/12/2011,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-1,Belleville-sur-Loire_1
515,515,5.0,Bugey,10/06/2011,19/12/2011,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-troisieme-visite-decennale-du-reacteur-n-5,Bugey_5
516,516,1.0,Penly,16/09/2011,25/12/2011,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-decennale-du-reacteur-n-17,Penly_1
517,517,2.0,Cruas,16/09/2011,28/11/2011,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-235,Cruas_2
518,518,1.0,Civaux,12/08/2011,03/12/2011,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-visite-decennale-du-reacteur-n-13,Civaux_1
519,519,2.0,Bugey,14/10/2011,14/12/2011,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-reacteur-n-2-du-bugey,Bugey_2
520,520,2.0,Chinon,21/10/2011,01/12/2011,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-b22,Chinon_2
